item index num(items[i]),id of checkin,createdAt,createdATDateTimeFormat,createdAtDate,,createdAtDay,createdAtTime,venue name,location lat,location long
97,5018763ee4b0caed4b1ae672,1343780414,7/31/12 8:20 PM,"Tuesday, July 31, 12","Tuesday, July 31, 12",Tuesday,8:20 PM,Madison Square Park,40.74218831,-73.98792419
98,50187631e4b0031e81376880,1343780401,7/31/12 8:20 PM,"Tuesday, July 31, 12","Tuesday, July 31, 12",Tuesday,8:20 PM,ChatID,40.73870023,-73.9890146
99,50187622e4b097258afda8e3,1343780386,7/31/12 8:19 PM,"Tuesday, July 31, 12","Tuesday, July 31, 12",Tuesday,8:19 PM,Rhong-Tiam Express,40.73944969,-73.9886473
100,501759ffe4b075715740af6a,1343707647,7/31/12 12:07 AM,"Tuesday, July 31, 12","Tuesday, July 31, 12",Tuesday,12:07 AM,Palladium Athletic Facility,40.73342001,-73.98809062
101,50169a34e4b01bcdb336d132,1343658548,7/30/12 10:29 AM,"Monday, July 30, 12","Monday, July 30, 12",Monday,10:29 AM,ChatID,40.73870023,-73.9890146
102,50169a1de4b0d93bf9220b8f,1343658525,7/30/12 10:28 AM,"Monday, July 30, 12","Monday, July 30, 12",Monday,10:28 AM,David's Bagels,40.73224896,-73.98166284
103,50149404e4b00c72b7036e3f,1343525892,7/28/12 9:38 PM,"Saturday, July 28, 12","Saturday, July 28, 12",Saturday,9:38 PM,Siro's,43.07413538,-73.77398872
104,50143129e4b0be9af5516185,1343500585,7/28/12 2:36 PM,"Saturday, July 28, 12","Saturday, July 28, 12",Saturday,2:36 PM,Saratoga Race Course,43.07349621,-73.76960993
105,50126df6e4b07f20b271e163,1343385078,7/27/12 6:31 AM,"Friday, July 27, 12","Friday, July 27, 12",Friday,6:31 AM,Palladium Athletic Facility,40.73342001,-73.98809062
106,50118bcee4b0dbe1572b78c4,1343327182,7/26/12 2:26 PM,"Thursday, July 26, 12","Thursday, July 26, 12",Thursday,2:26 PM,ITP,40.72944585,-73.99366021
107,501155eee4b06fc7cdcbe973,1343313390,7/26/12 10:36 AM,"Thursday, July 26, 12","Thursday, July 26, 12",Thursday,10:36 AM,ChatID,40.73870023,-73.9890146
108,501155c6e4b080ff6a0bd120,1343313350,7/26/12 10:35 AM,"Thursday, July 26, 12","Thursday, July 26, 12",Thursday,10:35 AM,Murray's Falafel,40.73216623,-73.98190388
